nohup: ignoring input
will save to logs/2022-06-09_20:26:30.ckpt

train E000:   0% 0/328 [00:00<?, ?it/s]
train E000:   0% 0/328 [00:10<?, ?it/s, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5475]
train E000:  25% 83/328 [00:28<00:49,  4.99it/s, acc=0.0181, loss=3.5252]
train E000:  26% 84/328 [00:28<00:48,  5.04it/s, acc=0.0181, loss=3.5252]
train E000:  26% 84/328 [00:28<00:48,  5.04it/s, acc=0.0165, loss=3.5226]
train E000:  26% 85/328 [00:28<00:48,  5.05it/s, acc=0.0165, loss=3.5226]
train E000:  26% 85/328 [00:28<00:48,  5.05it/s, acc=0.0211, loss=3.5237]
train E000:  26% 86/328 [00:28<00:47,  5.09it/s, acc=0.0211, loss=3.5237]
train E000:  26% 86/328 [00:28<00:47,  5.09it/s, acc=0.0111, loss=3.5212]
train E000:  27% 87/328 [00:28<00:47,  5.10it/s, acc=0.0111, loss=3.5212]
train E000:  27% 87/328 [00:28<00:47,  5.10it/s, acc=0.0176, loss=3.5207]
train E000:  27% 88/328 [00:28<00:47,  5.08it/s, acc=0.0176, loss=3.5207]
train E000:  27% 88/328 [00:29<00:47,  5.08it/s, acc=0.0092, loss=3.5175]
train E000:  27% 89/328 [00:29<00:47,  5.06it/s, acc=0.0092, loss=3.5175]
train E000:  27% 89/328 [00:29<00:47,  5.06it/s, acc=0.0049, loss=3.5155]
train E000:  27% 90/328 [00:29<00:46,  5.10it/s, acc=0.0049, loss=3.5155]
train E000:  27% 90/328 [00:29<00:46,  5.10it/s, acc=0.0101, loss=3.5142]
train E000:  28% 91/328 [00:29<00:46,  5.05it/s, acc=0.0101, loss=3.5142]
train E000:  28% 91/328 [00:29<00:46,  5.05it/s, acc=0.0315, loss=3.5139]
train E000:  28% 92/328 [00:29<00:46,  5.03it/s, acc=0.0315, loss=3.5139]
train E000:  28% 92/328 [00:29<00:46,  5.03it/s, acc=0.0165, loss=3.5122]
train E000:  28% 93/328 [00:29<00:46,  5.05it/s, acc=0.0165, loss=3.5122]
train E000:  28% 93/328 [00:30<00:46,  5.05it/s, acc=0.0282, loss=3.5104]
train E000:  29% 94/328 [00:30<00:46,  5.06it/s, acc=0.0282, loss=3.5104]
train E000:  29% 94/328 [00:30<00:46,  5.06it/s, acc=0.0203, loss=3.5100]
train E000:  29% 95/328 [00:30<00:46,  5.05it/s, acc=0.0203, loss=3.5100]
train E000:  29% 95/328 [00:30<00:46,  5.05it/s, acc=0.0176, loss=3.5124]
train E000:  29% 96/328 [00:30<00:45,  5.07it/s, acc=0.0176, loss=3.5124]
train E000:  29% 96/328 [00:30<00:45,  5.07it/s, acc=0.0092, loss=3.5105]
train E000:  30% 97/328 [00:30<00:47,  4.91it/s, acc=0.0092, loss=3.5105]
train E000:  30% 97/328 [00:30<00:47,  4.91it/s, acc=0.0049, loss=3.5076]
train E000:  30% 98/328 [00:30<00:48,  4.79it/s, acc=0.0049, loss=3.5076]
train E000:  30% 98/328 [00:31<00:48,  4.79it/s, acc=0.0157, loss=3.5082]
train E000:  30% 99/328 [00:31<00:49,  4.66it/s, acc=0.0157, loss=3.5082]
train E000:  30% 99/328 [00:31<00:49,  4.66it/s, acc=0.0173, loss=3.5065]
train E000:  30% 100/328 [00:31<00:51,  4.43it/s, acc=0.0173, loss=3.5065]
train E000:  30% 100/328 [00:31<00:51,  4.43it/s, acc=0.0091, loss=3.5082]
train E000:  31% 101/328 [00:31<00:53,  4.21it/s, acc=0.0091, loss=3.5082]
train E000:  31% 101/328 [00:31<00:53,  4.21it/s, acc=0.0093, loss=3.5046]
train E000:  31% 102/328 [00:31<00:57,  3.90it/s, acc=0.0093, loss=3.5046]
train E000:  31% 102/328 [00:32<00:57,  3.90it/s, acc=0.0049, loss=3.5040]
train E000:  31% 103/328 [00:32<01:00,  3.75it/s, acc=0.0049, loss=3.5040]
train E000:  31% 103/328 [00:32<01:00,  3.75it/s, acc=0.0081, loss=3.5027]
train E000:  32% 104/328 [00:32<00:55,  4.05it/s, acc=0.0081, loss=3.5027]
train E000:  32% 104/328 [00:32<00:55,  4.05it/s, acc=0.0104, loss=3.5009]
train E000:  32% 105/328 [00:32<00:51,  4.30it/s, acc=0.0104, loss=3.5009]
train E000:  32% 105/328 [00:32<00:51,  4.30it/s, acc=0.0225, loss=3.5007]
train E000:  32% 106/328 [00:32<00:49,  4.50it/s, acc=0.0225, loss=3.5007]
train E000:  32% 106/328 [00:32<00:49,  4.50it/s, acc=0.0153, loss=3.5007]
train E000:  33% 107/328 [00:32<00:47,  4.63it/s, acc=0.0153, loss=3.5007]
train E000:  33% 107/328 [00:33<00:47,  4.63it/s, acc=0.0080, loss=3.4988]
train E000:  33% 108/328 [00:33<00:46,  4.77it/s, acc=0.0080, loss=3.4988]
train E000:  33% 108/328 [00:33<00:46,  4.77it/s, acc=0.0042, loss=3.4980]
train E000:  33% 109/328 [00:33<00:45,  4.84it/s, acc=0.0042, loss=3.4980]
train E000:  33% 109/328 [00:33<00:45,  4.84it/s, acc=0.0158, loss=3.4996]
train E000:  34% 110/328 [00:33<00:44,  4.92it/s, acc=0.0158, loss=3.4996]
train E000:  34% 110/328 [00:33<00:44,  4.92it/s, acc=0.0249, loss=3.5010]
train E000:  34% 111/328 [00:33<00:44,  4.84it/s, acc=0.0249, loss=3.5010]
train E000:  34% 111/328 [00:34<00:44,  4.84it/s, acc=0.0231, loss=3.5005]
train E000:  34% 112/328 [00:34<00:48,  4.50it/s, acc=0.0231, loss=3.5005]
train E000:  34% 112/328 [00:34<00:48,  4.50it/s, acc=0.0154, loss=3.4986]
train E000:  34% 113/328 [00:34<00:49,  4.31it/s, acc=0.0154, loss=3.4986]
train E000:  34% 113/328 [00:34<00:49,  4.31it/s, acc=0.0174, loss=3.4983]
train E000:  35% 114/328 [00:34<00:51,  4.16it/s, acc=0.0174, loss=3.4983]
train E000:  35% 114/328 [00:34<00:51,  4.16it/s, acc=0.0092, loss=3.4951]
train E000:  35% 115/328 [00:34<00:52,  4.04it/s, acc=0.0092, loss=3.4951]
train E000:  35% 115/328 [00:35<00:52,  4.04it/s, acc=0.0048, loss=3.4942]
train E000:  35% 116/328 [00:35<00:52,  4.05it/s, acc=0.0048, loss=3.4942]
train E000:  35% 116/328 [00:35<00:52,  4.05it/s, acc=0.0053, loss=3.4950]
train E000:  36% 117/328 [00:35<00:52,  4.01it/s, acc=0.0053, loss=3.4950]
train E000:  36% 117/328 [00:35<00:52,  4.01it/s, acc=0.0028, loss=3.4945]
train E000:  36% 118/328 [00:35<00:51,  4.08it/s, acc=0.0028, loss=3.4945]
train E000:  36% 118/328 [00:35<00:51,  4.08it/s, acc=0.0094, loss=3.4920]
train E000:  36% 119/328 [00:35<00:51,  4.08it/s, acc=0.0094, loss=3.4920]
train E000:  36% 119/328 [00:36<00:51,  4.08it/s, acc=0.0148, loss=3.4886]
train E000:  37% 120/328 [00:36<00:52,  3.96it/s, acc=0.0148, loss=3.4886]
train E000:  37% 120/328 [00:36<00:52,  3.96it/s, acc=0.0133, loss=3.4880]
train E000:  37% 121/328 [00:36<00:51,  4.05it/s, acc=0.0133, loss=3.4880]
train E000:  37% 121/328 [00:36<00:51,  4.05it/s, acc=0.0153, loss=3.4888]
train E000:  37% 122/328 [00:36<00:51,  3.97it/s, acc=0.0153, loss=3.4888]
train E000:  37% 122/328 [00:36<00:51,  3.97it/s, acc=0.0199, loss=3.4887]
train E000:  38% 123/328 [00:36<00:50,  4.03it/s, acc=0.0199, loss=3.4887]
train E000:  38% 123/328 [00:37<00:50,  4.03it/s, acc=0.0191, loss=3.4891]
train E000:  38% 124/328 [00:37<00:52,  3.91it/s, acc=0.0191, loss=3.4891]
train E000:  38% 124/328 [00:37<00:52,  3.91it/s, acc=0.0330, loss=3.4907]
train E000:  38% 125/328 [00:37<00:49,  4.13it/s, acc=0.0330, loss=3.4907]
train E000:  38% 125/328 [00:37<00:49,  4.13it/s, acc=0.0481, loss=3.4891]
train E000:  38% 126/328 [00:37<00:50,  4.02it/s, acc=0.0481, loss=3.4891]
train E000:  38% 126/328 [00:37<00:50,  4.02it/s, acc=0.0433, loss=3.4859]
train E000:  39% 127/328 [00:37<00:51,  3.90it/s, acc=0.0433, loss=3.4859]
train E000:  39% 127/328 [00:38<00:51,  3.90it/s, acc=0.0290, loss=3.4843]
train E000:  39% 128/328 [00:38<00:49,  4.01it/s, acc=0.0290, loss=3.4843]
train E000:  39% 128/328 [00:38<00:49,  4.01it/s, acc=0.0467, loss=3.4824]
train E000:  39% 129/328 [00:38<00:49,  4.03it/s, acc=0.0467, loss=3.4824]
train E000:  39% 129/328 [00:38<00:49,  4.03it/s, acc=0.0432, loss=3.4817]
train E000:  40% 130/328 [00:38<00:49,  3.96it/s, acc=0.0432, loss=3.4817]
train E000:  40% 130/328 [00:38<00:49,  3.96it/s, acc=0.0227, loss=3.4814]
train E000:  40% 131/328 [00:38<00:49,  4.01it/s, acc=0.0227, loss=3.4814]
train E000:  40% 131/328 [00:39<00:49,  4.01it/s, acc=0.0230, loss=3.4816]
train E000:  40% 132/328 [00:39<00:49,  3.94it/s, acc=0.0230, loss=3.4816]
train E000:  40% 132/328 [00:39<00:49,  3.94it/s, acc=0.0372, loss=3.4805]
train E000:  41% 133/328 [00:39<00:49,  3.95it/s, acc=0.0372, loss=3.4805]
train E000:  41% 133/328 [00:39<00:49,  3.95it/s, acc=0.0195, loss=3.4820]
train E000:  41% 134/328 [00:39<00:48,  4.01it/s, acc=0.0195, loss=3.4820]
train E000:  41% 134/328 [00:39<00:48,  4.01it/s, acc=0.0431, loss=3.4830]
train E000:  41% 135/328 [00:39<00:49,  3.91it/s, acc=0.0431, loss=3.4830]
train E000:  41% 135/328 [00:40<00:49,  3.91it/s, acc=0.0248, loss=3.4810]
